Date_Time,Temp,Intensity
7/10/2020 15:30,33.12,26.11
7/10/2020 15:45,32.09,47.24
7/10/2020 16:00,30.33,79.4
7/10/2020 16:15,29.34,878.72
7/10/2020 16:30,29.98,27.4
7/10/2020 16:45,28.48,26.85
7/10/2020 17:00,27.37,42.34
7/10/2020 17:15,26.55,0
7/10/2020 17:30,26.77,0
7/10/2020 17:45,26.6,0
7/10/2020 18:00,26.38,3.33
7/10/2020 18:15,27.5,3.74
7/10/2020 18:30,28.78,3.3
7/10/2020 18:45,29.77,2.86
7/10/2020 19:00,30.37,2.42
7/10/2020 19:15,30.54,1.54
7/10/2020 19:30,30.37,1.1
7/10/2020 19:45,30.07,0.44
7/10/2020 20:00,29.64,0
7/10/2020 20:15,29.34,0
7/10/2020 20:30,29.04,0
7/10/2020 20:45,28.78,0
7/10/2020 21:00,28.57,0
7/10/2020 21:15,28.31,0
7/10/2020 21:30,28.05,0
7/10/2020 21:45,27.71,0
7/10/2020 22:00,27.5,0
7/10/2020 22:15,27.11,0
7/10/2020 22:30,26.77,0
7/10/2020 22:45,26.42,0
7/10/2020 23:00,26.12,0
7/10/2020 23:15,25.74,0
7/10/2020 23:30,25.35,0
7/10/2020 23:45,25.05,0
7/11/2020 0:00,24.75,0
7/11/2020 0:15,24.36,0
7/11/2020 0:30,24.02,0.44
7/11/2020 0:45,23.76,0
7/11/2020 1:00,23.46,0
7/11/2020 1:15,23.16,0
7/11/2020 1:30,22.82,0
7/11/2020 1:45,22.56,0
7/11/2020 2:00,22.22,0
7/11/2020 2:15,21.92,0
7/11/2020 2:30,21.66,0
7/11/2020 2:45,21.36,0
7/11/2020 3:00,21.06,0
7/11/2020 3:15,20.8,0
7/11/2020 3:30,20.59,0
7/11/2020 3:45,20.25,0
7/11/2020 4:00,20.07,0
7/11/2020 4:15,19.73,0
7/11/2020 4:30,19.56,0
7/11/2020 4:45,19.26,0
7/11/2020 5:00,19.05,0
7/11/2020 5:15,18.79,0
7/11/2020 5:30,18.57,0
7/11/2020 5:45,18.36,0
7/11/2020 6:00,18.1,0
7/11/2020 6:15,17.89,0
7/11/2020 6:30,17.72,0
7/11/2020 6:45,17.46,0
7/11/2020 7:00,17.24,0
7/11/2020 7:15,17.11,0
7/11/2020 7:30,16.94,2.2
7/11/2020 7:45,16.69,2.42
7/11/2020 8:00,16.43,3.74
7/11/2020 8:15,16.3,0
7/11/2020 8:30,16.39,0
7/11/2020 8:45,16.73,0
7/11/2020 9:00,17.16,0.22
7/11/2020 9:15,17.67,0.22
7/11/2020 9:30,18.19,0
7/11/2020 9:45,18.62,0.88
7/11/2020 10:00,19.09,0.22
7/11/2020 10:15,19.6,0
7/11/2020 10:30,20.07,0.22
7/11/2020 10:45,20.59,0.66
7/11/2020 11:00,21.1,0.66
7/11/2020 11:15,21.75,0.88
7/11/2020 11:30,22.52,7.94
7/11/2020 11:45,23.12,21.72
7/11/2020 12:00,23.55,6.17
7/11/2020 12:15,23.76,6.83
7/11/2020 12:30,24.02,1.98
7/11/2020 12:45,24.32,35.95
7/11/2020 13:00,19,21.12
7/11/2020 13:15,17.29,526.72
7/11/2020 13:30,17.5,31.54
7/11/2020 13:45,17.76,28.45
7/11/2020 14:00,17.97,28.95
7/11/2020 14:15,18.19,209.76
7/11/2020 14:30,18.53,95.16
7/11/2020 14:45,18.83,497.6
7/11/2020 15:00,19.35,999.36
7/11/2020 15:15,19.47,797.12
7/11/2020 15:30,19.52,876.8
7/11/2020 15:45,19.56,69.04
7/11/2020 16:00,19.52,109.4
7/11/2020 16:15,19.47,88.12
7/11/2020 16:30,19.73,260.48
7/11/2020 16:45,19.9,27.18
7/11/2020 17:00,19.69,23.84
7/11/2020 17:15,19.73,21.14
7/11/2020 17:30,19.73,18.5
7/11/2020 17:45,19.77,17.37
7/11/2020 18:00,19.77,15.57
7/11/2020 18:15,19.73,14.66
7/11/2020 18:30,19.73,15.55
7/11/2020 18:45,19.56,12.87
7/11/2020 19:00,19.3,11.52
7/11/2020 19:15,19.09,9.76
7/11/2020 19:30,18.87,8.85
7/11/2020 19:45,18.79,4.63
7/11/2020 20:00,18.62,3.52
7/11/2020 20:15,18.57,2.64
7/11/2020 20:30,18.36,1.54
7/11/2020 20:45,18.14,0.44
7/11/2020 21:00,17.93,0
7/11/2020 21:15,17.76,0
7/11/2020 21:30,17.5,0
7/11/2020 21:45,17.37,0
7/11/2020 22:00,17.16,0
7/11/2020 22:15,17.03,0
7/11/2020 22:30,16.86,0
7/11/2020 22:45,16.69,0
7/11/2020 23:00,16.56,0
7/11/2020 23:15,16.47,0
7/11/2020 23:30,16.3,0
7/11/2020 23:45,16.13,0
7/12/2020 0:00,16,0
7/12/2020 0:15,15.91,0
7/12/2020 0:30,15.83,0
7/12/2020 0:45,15.7,0
7/12/2020 1:00,15.61,0
7/12/2020 1:15,15.48,0
7/12/2020 1:30,15.44,0
7/12/2020 1:45,15.27,0
7/12/2020 2:00,15.27,0
7/12/2020 2:15,15.14,0
7/12/2020 2:30,15.06,0
7/12/2020 2:45,14.97,0
7/12/2020 3:00,14.88,0
7/12/2020 3:15,14.84,0
7/12/2020 3:30,14.8,0
7/12/2020 3:45,14.71,0.44
7/12/2020 4:00,14.67,0
7/12/2020 4:15,14.58,0
7/12/2020 4:30,14.54,0
7/12/2020 4:45,14.5,0
7/12/2020 5:00,14.41,0
7/12/2020 5:15,14.37,0
7/12/2020 5:30,14.28,0
7/12/2020 5:45,14.24,0.22
7/12/2020 6:00,14.15,0.88
7/12/2020 6:15,14.15,1.54
7/12/2020 6:30,14.11,2.2
7/12/2020 6:45,14.07,3.3
7/12/2020 7:00,14.03,3.97
7/12/2020 7:15,14.03,4.63
7/12/2020 7:30,14.03,5.29
7/12/2020 7:45,13.94,6.17
7/12/2020 8:00,13.98,6.61
7/12/2020 8:15,14.03,22.38
7/12/2020 8:30,14.07,8.63
7/12/2020 8:45,14.11,28.78
7/12/2020 9:00,14.15,12.65
7/12/2020 9:15,14.24,15.55
7/12/2020 9:30,14.33,20.45
7/12/2020 9:45,14.45,13.56
7/12/2020 10:00,14.58,40.03
7/12/2020 10:15,14.67,20.45
7/12/2020 10:30,14.75,13.78
7/12/2020 10:45,14.88,13.78
7/12/2020 11:00,15.06,15.13
7/12/2020 11:15,15.18,17.37
7/12/2020 11:30,15.31,20.95
7/12/2020 11:45,15.53,24.07
7/12/2020 12:00,15.7,33.41
7/12/2020 12:15,15.96,414.56
7/12/2020 12:30,16.39,426.08
7/12/2020 12:45,16.6,63.74
7/12/2020 13:00,16.64,25.86
7/12/2020 13:15,16.99,561.92
7/12/2020 13:30,17.46,113.92
7/12/2020 13:45,17.46,28.06
7/12/2020 14:00,17.54,34.74
7/12/2020 14:15,17.8,242.8
7/12/2020 14:30,18.19,95.16
7/12/2020 14:45,18.44,529.76
7/12/2020 15:00,18.87,908.48
7/12/2020 15:15,19.05,850.24
7/12/2020 15:30,19,639.2
7/12/2020 15:45,18.96,499.36
7/12/2020 16:00,18.96,77.42
7/12/2020 16:15,18.92,66.32
7/12/2020 16:30,18.96,190.32
7/12/2020 16:45,18.96,21.83
7/12/2020 17:00,18.79,18.94
7/12/2020 17:15,18.83,18.25
7/12/2020 17:30,18.83,17.59
7/12/2020 17:45,18.74,14.69
7/12/2020 18:00,18.7,13.56
7/12/2020 18:15,18.62,12.65
7/12/2020 18:30,18.74,11.77
7/12/2020 18:45,18.62,10.86
7/12/2020 19:00,18.62,9.53
7/12/2020 19:15,18.49,8.63
7/12/2020 19:30,18.36,7.52
7/12/2020 19:45,18.32,3.97
7/12/2020 20:00,18.19,3.08
7/12/2020 20:15,18.14,2.2
7/12/2020 20:30,18.02,1.32
7/12/2020 20:45,18.02,0.44
7/12/2020 21:00,17.93,0
7/12/2020 21:15,17.84,0
7/12/2020 21:30,17.8,0
7/12/2020 21:45,17.76,0
7/12/2020 22:00,17.72,0.44
7/12/2020 22:15,17.63,0
7/12/2020 22:30,17.63,0
7/12/2020 22:45,17.5,0
7/12/2020 23:00,17.5,0
7/12/2020 23:15,17.46,0
7/12/2020 23:30,17.41,0
7/12/2020 23:45,17.29,0
7/13/2020 0:00,17.2,0
7/13/2020 0:15,17.11,0
7/13/2020 0:30,17.07,0
7/13/2020 0:45,16.99,0
7/13/2020 1:00,16.9,0
7/13/2020 1:15,16.81,0
7/13/2020 1:30,16.73,0
7/13/2020 1:45,16.69,0
7/13/2020 2:00,16.69,0
7/13/2020 2:15,16.51,0
7/13/2020 2:30,16.47,0
7/13/2020 2:45,16.39,0
7/13/2020 3:00,16.3,0
7/13/2020 3:15,16.26,0
7/13/2020 3:30,16.21,0
7/13/2020 3:45,16.13,0
7/13/2020 4:00,16.08,0
7/13/2020 4:15,16,0
