Date_Time,Temp,Intensity
7/9/2020 14:15,33.5,957.12
7/9/2020 14:30,36.25,609.76
7/9/2020 14:45,15.01,1.93
7/9/2020 15:00,14.45,2.57
7/9/2020 15:15,14.37,5.57
7/9/2020 15:30,14.24,3
7/9/2020 15:45,14.24,1.5
7/9/2020 16:00,14.15,13.75
7/9/2020 16:15,14.2,10.74
7/9/2020 16:30,14.11,1.28
7/9/2020 16:45,14.11,1.28
7/9/2020 17:00,14.07,2.57
7/9/2020 17:15,14.07,2.35
7/9/2020 17:30,14.03,5.14
7/9/2020 17:45,14.07,9.22
7/9/2020 18:00,13.98,1.5
7/9/2020 18:15,13.9,1.5
7/9/2020 18:30,13.94,4.07
7/9/2020 18:45,13.85,1.28
7/9/2020 19:00,13.85,1.07
7/9/2020 19:15,13.81,0.85
7/9/2020 19:30,13.73,0.85
7/9/2020 19:45,13.73,0.64
7/9/2020 20:00,13.68,0.42
7/9/2020 20:15,13.6,0.21
7/9/2020 20:30,13.55,0
7/9/2020 20:45,13.55,0
7/9/2020 21:00,13.47,0
7/9/2020 21:15,13.43,0
7/9/2020 21:30,13.34,0
7/9/2020 21:45,13.34,0
7/9/2020 22:00,13.34,0
7/9/2020 22:15,13.25,0
7/9/2020 22:30,13.25,0
7/9/2020 22:45,13.21,0
7/9/2020 23:00,13.21,0
7/9/2020 23:15,13.12,0
7/9/2020 23:30,13.17,0
7/9/2020 23:45,13.08,0.42
7/10/2020 0:00,13.04,0
7/10/2020 0:15,13.04,0
7/10/2020 0:30,13.04,0
7/10/2020 0:45,13,0
7/10/2020 1:00,12.95,0
7/10/2020 1:15,13,0
7/10/2020 1:30,12.95,0
7/10/2020 1:45,12.95,0
7/10/2020 2:00,12.91,0
7/10/2020 2:15,12.87,0
7/10/2020 2:30,12.87,0
7/10/2020 2:45,12.87,0
7/10/2020 3:00,12.87,0
7/10/2020 3:15,12.87,0
7/10/2020 3:30,12.78,0
7/10/2020 3:45,12.82,0
7/10/2020 4:00,12.78,0
7/10/2020 4:15,12.78,0
7/10/2020 4:30,12.74,0
7/10/2020 4:45,12.78,0
7/10/2020 5:00,12.74,0
7/10/2020 5:15,12.7,0
7/10/2020 5:30,12.74,0
7/10/2020 5:45,12.7,0
7/10/2020 6:00,12.7,0
7/10/2020 6:15,12.65,0.21
