Date_Time,Temp,Intensity
7/9/2020 11:46,32,78
7/9/2020 12:01,18.74,206
7/9/2020 12:16,12.57,202
7/9/2020 12:31,12.44,204
7/9/2020 12:46,12.35,209
7/9/2020 13:01,12.35,211
7/9/2020 13:16,12.44,228
7/9/2020 13:31,12.44,247
7/9/2020 13:46,12.52,250
7/9/2020 14:01,12.57,256
7/9/2020 14:16,12.7,299
7/9/2020 14:31,12.7,376
7/9/2020 14:46,12.7,401
7/9/2020 15:01,12.74,437
7/9/2020 15:16,12.82,446
7/9/2020 15:31,12.82,470
7/9/2020 15:46,12.78,445
7/9/2020 16:01,12.78,481
7/9/2020 16:16,12.78,370
7/9/2020 16:31,12.82,394
7/9/2020 16:46,12.82,351
7/9/2020 17:01,12.78,63
7/9/2020 17:16,12.7,19
7/9/2020 17:31,12.7,12
7/9/2020 17:46,12.57,9
7/9/2020 18:01,12.57,8
7/9/2020 18:16,12.48,10
7/9/2020 18:31,12.44,8
7/9/2020 18:46,12.44,6
7/9/2020 19:01,12.4,5
7/9/2020 19:16,12.4,4
7/9/2020 19:31,12.31,4
7/9/2020 19:46,12.31,3
7/9/2020 20:01,12.31,2
7/9/2020 20:16,12.27,2
7/9/2020 20:31,12.22,1
7/9/2020 20:46,12.18,0
7/9/2020 21:01,12.18,0
7/9/2020 21:16,12.14,0
7/9/2020 21:31,12.14,0
7/9/2020 21:46,12.1,0
7/9/2020 22:01,12.1,0
7/9/2020 22:16,12.05,0
7/9/2020 22:31,12.05,0
7/9/2020 22:46,12.01,0
7/9/2020 23:01,12.01,0
7/9/2020 23:16,12.01,0
7/9/2020 23:31,12.01,0
7/9/2020 23:46,11.97,0
7/10/2020 0:01,11.97,0
7/10/2020 0:16,12.01,0
7/10/2020 0:31,11.92,0
7/10/2020 0:46,11.92,0
7/10/2020 1:01,11.88,0
7/10/2020 1:16,11.88,0
7/10/2020 1:31,11.84,0
7/10/2020 1:46,11.84,0
7/10/2020 2:01,11.88,0
7/10/2020 2:16,11.84,0
7/10/2020 2:31,11.84,0
7/10/2020 2:46,11.84,0
7/10/2020 3:01,11.84,0
7/10/2020 3:16,11.79,0
7/10/2020 3:31,11.88,0
7/10/2020 3:46,11.79,0
7/10/2020 4:01,11.79,0
7/10/2020 4:16,11.79,0
7/10/2020 4:31,11.79,0
7/10/2020 4:46,11.75,0
7/10/2020 5:01,11.71,0
7/10/2020 5:16,11.75,0
7/10/2020 5:31,11.71,0
7/10/2020 5:46,11.71,0
7/10/2020 6:01,11.67,0
7/10/2020 6:16,11.71,1
7/10/2020 6:31,11.71,2
7/10/2020 6:46,11.71,2
7/10/2020 7:01,11.67,3
7/10/2020 7:16,11.67,3
7/10/2020 7:31,11.67,4
7/10/2020 7:46,11.67,4
7/10/2020 8:01,11.62,4
7/10/2020 8:16,11.62,5
7/10/2020 8:31,11.67,5
7/10/2020 8:46,11.62,6
7/10/2020 9:01,11.62,6
7/10/2020 9:16,11.67,7
7/10/2020 9:31,11.62,7
7/10/2020 9:46,11.67,28
7/10/2020 10:01,11.62,34
7/10/2020 10:16,11.67,12
7/10/2020 10:31,11.62,35
7/10/2020 10:46,11.67,89
7/10/2020 11:01,11.71,128
7/10/2020 11:16,11.75,130
7/10/2020 11:31,11.84,106
7/10/2020 11:46,11.97,142
7/10/2020 12:01,12.05,155
7/10/2020 12:16,12.1,160
7/10/2020 12:31,12.18,164
7/10/2020 12:46,12.27,168
7/10/2020 13:01,12.35,181
7/10/2020 13:16,12.44,192
7/10/2020 13:31,12.44,207
7/10/2020 13:46,12.57,214
7/10/2020 14:01,12.65,228
7/10/2020 14:16,12.7,247
7/10/2020 14:31,12.82,295
7/10/2020 14:46,12.87,340
