Date_Time,Temp,Intensity
7/7/2020 10:30,23.72,40
7/7/2020 10:45,22.95,23
7/7/2020 11:00,23.72,87
7/7/2020 11:15,26.38,625
7/7/2020 11:30,30.24,646
7/7/2020 11:45,33.59,650
7/7/2020 12:00,36.08,632
7/7/2020 12:15,38.09,684
7/7/2020 12:30,39.68,599
7/7/2020 12:45,40.67,568
7/7/2020 13:00,41.31,557
7/7/2020 13:15,41.74,267
7/7/2020 13:30,42,1011
7/7/2020 13:45,45.21,921
7/7/2020 14:00,47.87,791
7/7/2020 14:15,47.75,90
7/7/2020 14:30,46.63,79
7/7/2020 14:45,46.8,371
7/7/2020 15:00,45.6,108
7/7/2020 15:15,43.07,10
7/7/2020 15:30,40.11,66
7/7/2020 15:45,36.63,696
7/7/2020 16:00,33.72,685
7/7/2020 16:15,29.98,142
7/7/2020 16:30,30.63,12
7/7/2020 16:45,31.92,136
7/7/2020 17:00,21.06,12
7/7/2020 17:15,18.36,9
7/7/2020 17:30,18.27,7
7/7/2020 17:45,18.27,7
7/7/2020 18:00,18.23,6
7/7/2020 18:15,18.1,6
7/7/2020 18:30,17.97,6
7/7/2020 18:45,17.84,5
7/7/2020 19:00,17.67,5
7/7/2020 19:15,17.54,4
7/7/2020 19:30,17.41,3
7/7/2020 19:45,17.2,2
7/7/2020 20:00,17.03,1
7/7/2020 20:15,16.9,0
7/7/2020 20:30,16.69,0
7/7/2020 20:45,16.56,0
7/7/2020 21:00,16.39,0
7/7/2020 21:15,16.21,0
7/7/2020 21:30,16.08,0
7/7/2020 21:45,15.87,0
7/7/2020 22:00,15.7,0
7/7/2020 22:15,15.57,0
7/7/2020 22:30,15.4,0
7/7/2020 22:45,15.18,0
7/7/2020 23:00,15.1,0
7/7/2020 23:15,14.93,0
7/7/2020 23:30,14.8,0
7/7/2020 23:45,14.67,0
7/8/2020 0:00,14.58,0
7/8/2020 0:15,14.41,0
7/8/2020 0:30,14.33,0
7/8/2020 0:45,14.2,0
7/8/2020 1:00,14.11,0
7/8/2020 1:15,14.03,0
7/8/2020 1:30,13.94,0
7/8/2020 1:45,13.85,0
7/8/2020 2:00,13.77,0
7/8/2020 2:15,13.68,0
7/8/2020 2:30,13.6,0
7/8/2020 2:45,13.51,0
7/8/2020 3:00,13.47,0
7/8/2020 3:15,13.38,0
7/8/2020 3:30,13.3,0
7/8/2020 3:45,13.25,0
7/8/2020 4:00,13.17,0
7/8/2020 4:15,13.08,0
7/8/2020 4:30,13.04,0
7/8/2020 4:45,12.95,0
7/8/2020 5:00,12.87,0
7/8/2020 5:15,12.82,0
7/8/2020 5:30,12.78,0
7/8/2020 5:45,12.7,0
7/8/2020 6:00,12.61,0
7/8/2020 6:15,12.57,0
7/8/2020 6:30,12.44,0
7/8/2020 6:45,12.48,1
7/8/2020 7:00,12.44,1
7/8/2020 7:15,12.48,1
7/8/2020 7:30,12.48,1
7/8/2020 7:45,12.48,1
7/8/2020 8:00,12.52,1
7/8/2020 8:15,12.65,1
7/8/2020 8:30,12.7,2
7/8/2020 8:45,12.74,10
7/8/2020 9:00,12.91,7
7/8/2020 9:15,13,1
7/8/2020 9:30,13.21,1
7/8/2020 9:45,13.38,2
7/8/2020 10:00,13.6,3
7/8/2020 10:15,13.81,3
7/8/2020 10:30,14.03,2
7/8/2020 10:45,14.37,2
7/8/2020 11:00,14.58,12
7/8/2020 11:15,14.97,13
7/8/2020 11:30,15.27,14
7/8/2020 11:45,15.61,27
7/8/2020 12:00,15.91,131
7/8/2020 12:15,16.21,4
7/8/2020 12:30,16.56,3
7/8/2020 12:45,16.86,4
7/8/2020 13:00,17.11,2
7/8/2020 13:15,17.33,7
7/8/2020 13:30,17.67,3
7/8/2020 13:45,17.84,10
7/8/2020 14:00,18.02,3
7/8/2020 14:15,18.23,21
7/8/2020 14:30,18.4,9
7/8/2020 14:45,18.53,27
7/8/2020 15:00,18.62,42
7/8/2020 15:15,18.74,10
7/8/2020 15:30,18.83,71
7/8/2020 15:45,18.92,91
7/8/2020 16:00,18.96,65
7/8/2020 16:15,18.92,74
7/8/2020 16:30,18.92,85
7/8/2020 16:45,18.92,23
7/8/2020 17:00,18.83,5
7/8/2020 17:15,18.74,4
7/8/2020 17:30,18.74,3
7/8/2020 17:45,18.66,3
7/8/2020 18:00,18.62,3
7/8/2020 18:15,18.53,3
7/8/2020 18:30,18.4,3
7/8/2020 18:45,18.27,3
7/8/2020 19:00,18.14,3
7/8/2020 19:15,18.02,2
7/8/2020 19:30,17.84,2
7/8/2020 19:45,17.76,1
7/8/2020 20:00,17.54,0
7/8/2020 20:15,17.37,0
7/8/2020 20:30,17.2,0
7/8/2020 20:45,17.03,0
7/8/2020 21:00,16.81,0
7/8/2020 21:15,16.64,0
7/8/2020 21:30,16.51,0
7/8/2020 21:45,16.34,0
7/8/2020 22:00,16.17,0
7/8/2020 22:15,16.04,0
7/8/2020 22:30,15.83,0
7/8/2020 22:45,15.66,0
7/8/2020 23:00,15.44,0
7/8/2020 23:15,15.36,0
7/8/2020 23:30,15.18,0
7/8/2020 23:45,15.1,0
7/9/2020 0:00,14.97,0
7/9/2020 0:15,14.84,0
7/9/2020 0:30,14.71,0
7/9/2020 0:45,14.58,0
7/9/2020 1:00,14.45,0
7/9/2020 1:15,14.37,0
7/9/2020 1:30,14.28,0
7/9/2020 1:45,14.24,0
7/9/2020 2:00,14.11,0
7/9/2020 2:15,14.07,0
7/9/2020 2:30,13.94,0
7/9/2020 2:45,13.85,0
7/9/2020 3:00,13.81,0
7/9/2020 3:15,13.68,0
7/9/2020 3:30,13.6,0
7/9/2020 3:45,13.51,0
7/9/2020 4:00,13.47,0
7/9/2020 4:15,13.38,0
7/9/2020 4:30,13.43,0
7/9/2020 4:45,13.25,0
7/9/2020 5:00,13.17,0
7/9/2020 5:15,13.17,0
7/9/2020 5:30,13.08,0
7/9/2020 5:45,13,0
7/9/2020 6:00,13,0
7/9/2020 6:15,12.91,0
7/9/2020 6:30,12.78,0
7/9/2020 6:45,12.82,0
7/9/2020 7:00,12.78,1
7/9/2020 7:15,12.74,1
7/9/2020 7:30,12.78,1
7/9/2020 7:45,12.87,1
7/9/2020 8:00,12.91,1
7/9/2020 8:15,12.95,1
7/9/2020 8:30,13,2
7/9/2020 8:45,13.12,6
7/9/2020 9:00,13.21,3
7/9/2020 9:15,13.34,1
7/9/2020 9:30,13.55,1
7/9/2020 9:45,13.73,1
7/9/2020 10:00,13.9,4
7/9/2020 10:15,14.11,1
7/9/2020 10:30,14.37,1
7/9/2020 10:45,14.63,1
7/9/2020 11:00,14.97,4
7/9/2020 11:15,15.23,3
7/9/2020 11:30,15.57,10
7/9/2020 11:45,16,15
7/9/2020 12:00,16.3,86
7/9/2020 12:15,16.6,6
7/9/2020 12:30,16.9,2
7/9/2020 12:45,17.16,2
7/9/2020 13:00,17.54,2
7/9/2020 13:15,17.8,31
7/9/2020 13:30,18.06,30
7/9/2020 13:45,18.27,4
7/9/2020 14:00,18.44,1
7/9/2020 14:15,18.66,52
7/9/2020 14:30,18.79,8
7/9/2020 14:45,18.92,21
7/9/2020 15:00,19,23
7/9/2020 15:15,19.04,5
7/9/2020 15:30,19.17,52
7/9/2020 15:45,19.26,55
7/9/2020 16:00,19.26,64
7/9/2020 16:15,19.26,61
7/9/2020 16:30,19.26,52
7/9/2020 16:45,19.17,13
7/9/2020 17:00,19.09,4
7/9/2020 17:15,19,3
7/9/2020 17:30,19.04,2
7/9/2020 17:45,18.92,2
7/9/2020 18:00,18.87,2
7/9/2020 18:15,18.79,2
7/9/2020 18:30,18.7,2
7/9/2020 18:45,18.57,2
7/9/2020 19:00,18.44,2
7/9/2020 19:15,18.27,2
7/9/2020 19:30,18.1,1
7/9/2020 19:45,17.97,1
7/9/2020 20:00,17.76,0
7/9/2020 20:15,17.59,0
7/9/2020 20:30,17.37,0
7/9/2020 20:45,17.24,0
7/9/2020 21:00,17.11,0
7/9/2020 21:15,16.94,0
7/9/2020 21:30,16.77,0
7/9/2020 21:45,16.56,0
7/9/2020 22:00,16.43,0
7/9/2020 22:15,16.21,0
7/9/2020 22:30,16.08,0
7/9/2020 22:45,16,0
7/9/2020 23:00,15.78,0
7/9/2020 23:15,15.66,0
7/9/2020 23:30,15.53,0
7/9/2020 23:45,15.4,0
7/10/2020 0:00,15.23,0
