#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux)
1,08/04/2020 12:30:00,26.42,249.36
2,08/04/2020 12:35:00,25.69,276.88
3,08/04/2020 12:40:00,25.35,252.24
4,08/04/2020 12:45:00,25.14,260.16
5,08/04/2020 12:50:00,24.92,276.88
6,08/04/2020 12:55:00,24.84,269.84
7,08/04/2020 13:00:00,24.71,272.48
8,08/04/2020 13:05:00,24.58,268.08
9,08/04/2020 13:10:00,24.49,274.24
10,08/04/2020 13:15:00,24.24,281.28
11,08/04/2020 13:20:00,24.11,278.64
12,08/04/2020 13:25:00,24.06,281.28
13,08/04/2020 13:30:00,23.85,277.76
14,08/04/2020 13:35:00,23.98,260.80
15,08/04/2020 13:40:00,23.85,242.32
16,08/04/2020 13:45:00,23.81,241.44
17,08/04/2020 13:50:00,23.72,243.20
18,08/04/2020 13:55:00,23.68,241.44
19,08/04/2020 14:00:00,23.68,243.20
20,08/04/2020 14:05:00,23.59,241.44
21,08/04/2020 14:10:00,23.59,242.32
22,08/04/2020 14:15:00,23.55,246.72
23,08/04/2020 14:20:00,23.51,246.72
24,08/04/2020 14:25:00,23.42,242.32
25,08/04/2020 14:30:00,23.34,39.40
26,08/04/2020 14:35:00,23.42,39.40
27,08/04/2020 14:40:00,23.42,40.72
28,08/04/2020 14:45:00,23.42,41.16
29,08/04/2020 14:50:00,23.29,38.96
30,08/04/2020 14:55:00,23.25,38.08
31,08/04/2020 15:00:00,23.25,38.08
32,08/04/2020 15:05:00,23.21,38.52
33,08/04/2020 15:10:00,23.21,38.52
34,08/04/2020 15:15:00,23.16,38.96
35,08/04/2020 15:20:00,23.08,38.08
36,08/04/2020 15:25:00,23.08,38.52
37,08/04/2020 15:30:00,23.08,38.08
38,08/04/2020 15:35:00,23.12,38.52
39,08/04/2020 15:40:00,23.16,38.52
40,08/04/2020 15:45:00,23.16,39.40
41,08/04/2020 15:50:00,23.12,39.40
42,08/04/2020 15:55:00,23.12,41.16
43,08/04/2020 16:00:00,23.08,42.54
44,08/04/2020 16:05:00,23.08,44.30
45,08/04/2020 16:10:00,23.03,48.70
46,08/04/2020 16:15:00,23.08,53.10
47,08/04/2020 16:20:00,23.16,50.46
48,08/04/2020 16:25:00,23.12,47.82
49,08/04/2020 16:30:00,23.08,49.58
50,08/04/2020 16:35:00,23.08,52.66
51,08/04/2020 16:40:00,23.08,53.98
52,08/04/2020 16:45:00,23.03,50.90
53,08/04/2020 16:50:00,23.03,51.78
54,08/04/2020 16:55:00,23.03,52.66
55,08/04/2020 17:00:00,23.08,53.10
56,08/04/2020 17:05:00,23.03,53.54
57,08/04/2020 17:10:00,23.08,53.54
58,08/04/2020 17:15:00,22.99,53.98
59,08/04/2020 17:20:00,23.03,53.98
60,08/04/2020 17:25:00,23.03,53.10
61,08/04/2020 17:30:00,23.03,52.66
62,08/04/2020 17:35:00,23.08,51.78
63,08/04/2020 17:40:00,23.08,53.98
64,08/04/2020 17:45:00,23.03,43.74
65,08/04/2020 17:50:00,23.08,41.60
66,08/04/2020 17:55:00,23.08,66.86
67,08/04/2020 18:00:00,23.08,78.70
68,08/04/2020 18:05:00,22.99,63.72
69,08/04/2020 18:10:00,22.99,47.32
70,08/04/2020 18:15:00,23.12,48.20
71,08/04/2020 18:20:00,23.12,39.84
72,08/04/2020 18:25:00,23.12,53.54
73,08/04/2020 18:30:00,23.16,40.28
74,08/04/2020 18:35:00,22.99,35.82
75,08/04/2020 18:40:00,22.99,49.96
76,08/04/2020 18:45:00,23.03,35.38
77,08/04/2020 18:50:00,23.08,22.51
78,08/04/2020 18:55:00,23.08,23.88
79,08/04/2020 19:00:00,23.12,30.93
