STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/1/2020,57,73,47
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/2/2020,60,77,47
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/3/2020,63,76,54
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/4/2020,61,74,52
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/5/2020,63,78,52
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/6/2020,58,72,47
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/7/2020,56,69,46
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/8/2020,61,77,49
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/9/2020,64,79,54
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/10/2020,66,81,52
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/11/2020,69,83,60
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/12/2020,66,78,56
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/13/2020,66,83,55
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/14/2020,69,85,60
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/15/2020,74,86,65
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/16/2020,73,87,64
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/17/2020,71,86,63
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/18/2020,73,89,62
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/19/2020,76,90,66
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/20/2020,77,90,67
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/21/2020,77,91,68
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/22/2020,74,86,64
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/23/2020,68,81,58
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/24/2020,69,83,57
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/25/2020,72,87,62
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/26/2020,76,92,66
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/27/2020,74,89,62
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/28/2020,75,87,66
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/29/2020,75,88,66
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/30/2020,74,87,65
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,7/31/2020,71,84,62
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,8/1/2020,69,83,59
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,8/2/2020,69,83,59
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,8/3/2020,68,84,57
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,8/4/2020,70,86,60
