"","day","mean_temp","max_temp","min_temp","amp_temp"
"1",2020-07-01,NA,NA,NA,NA
"2",2020-07-02,NA,NA,NA,NA
"3",2020-07-03,NA,NA,NA,NA
"4",2020-07-04,NA,NA,NA,NA
"5",2020-07-05,NA,NA,NA,NA
"6",2020-07-06,NA,NA,NA,NA
"7",2020-07-07,15.1031428571429,15.61,14.24,1.37
"8",2020-07-08,14.3090625,15.74,12.87,2.87
"9",2020-07-09,14.459375,15.91,13.08,2.83
"10",2020-07-10,14.6104166666667,16.08,13.21,2.87
"11",2020-07-11,14.7011458333333,16.21,13.34,2.87
"12",2020-07-12,14.6205208333333,16.08,13.12,2.96
"13",2020-07-13,14.8397916666667,16.3,13.51,2.79
"14",2020-07-14,14.7916666666667,16.21,13.38,2.83
"15",2020-07-15,14.9105208333333,16.3,13.6,2.7
"16",2020-07-16,14.9705208333333,16.34,13.73,2.61
"17",2020-07-17,15.0175,16.39,13.73,2.66
"18",2020-07-18,15.0882291666667,16.43,13.85,2.58
"19",2020-07-19,15.1,16.34,13.98,2.36
"20",2020-07-20,15.2303125,16.6,14.07,2.53
"21",2020-07-21,15.2064583333333,16.47,14.07,2.4
"22",2020-07-22,15.3464583333333,16.6,14.28,2.32
"23",2020-07-23,15.475625,16.73,14.37,2.36
"24",2020-07-24,15.3933333333333,16.64,14.24,2.4
"25",2020-07-25,15.4188541666667,16.64,14.15,2.49
"26",2020-07-26,15.5542708333333,16.77,14.41,2.36
"27",2020-07-27,15.3490625,16.39,14.8,1.59
"28",2020-07-28,15.1516666666667,15.78,14.41,1.37
"29",2020-07-29,15.1111458333333,15.87,14.11,1.76
"30",2020-07-30,15.1214583333333,15.91,14.03,1.88
"31",2020-07-31,15.114375,15.91,13.98,1.93
"32",2020-08-01,15.0678125,15.83,13.94,1.89
"33",2020-08-02,14.96125,15.78,13.81,1.97
"34",2020-08-03,14.9455208333333,15.78,13.77,2.01
"35",2020-08-04,15.13375,15.87,14.11,1.76
"36",2020-08-05,15.3565625,15.96,14.58,1.38
"37",2020-08-06,15.3048958333333,15.87,14.41,1.46
"38",2020-08-07,15.0552083333333,15.83,13.85,1.98
"39",2020-08-08,15.0832291666667,15.87,13.9,1.97
"40",2020-08-09,15.3344791666667,16.08,14.28,1.8
"41",2020-08-10,15.3641666666667,16.04,14.33,1.71
"42",2020-08-11,15.4027083333333,16.04,14.37,1.67
"43",2020-08-12,15.2247916666667,15.87,14.2,1.67
"44",2020-08-13,15.2179166666667,15.87,14.15,1.72
"45",2020-08-14,15.3583333333333,16,14.33,1.67
"46",2020-08-15,15.601875,16.13,14.8,1.33
"47",2020-08-16,15.6482291666667,16,15.14,0.859999999999999
"48",2020-08-17,15.6076041666667,15.91,14.97,0.94
"49",2020-08-18,15.6032291666667,16.04,15.06,0.979999999999999
"50",2020-08-19,15.2645833333333,16,14.2,1.8
"51",2020-08-20,15.3714583333333,16.04,14.37,1.67
"52",2020-08-21,15.5329166666667,16.13,14.63,1.5
"53",2020-08-22,15.5933333333333,16.08,14.8,1.28
"54",2020-08-23,15.4217708333333,15.83,14.63,1.2
"55",2020-08-24,15.2478125,15.7,14.63,1.07
"56",2020-08-25,15.2409375,15.78,14.45,1.33
"57",2020-08-26,15.4366666666667,16,14.58,1.42
"58",2020-08-27,15.5217708333333,16.04,14.71,1.33
"59",2020-08-28,15.5067708333333,16.04,14.63,1.41
"60",2020-08-29,15.5960416666667,16.13,14.75,1.38
"61",2020-08-30,15.5101041666667,16.08,14.58,1.5
"62",2020-08-31,15.4057291666667,16,14.45,1.55
"63",2020-09-01,15.4890625,16,14.63,1.37
"64",2020-09-02,15.6441666666667,16.08,14.84,1.24
"65",2020-09-03,15.8163541666667,16.21,15.18,1.03
"66",2020-09-04,15.7844791666667,16.13,15.06,1.07
"67",2020-09-05,15.4323958333333,15.96,14.71,1.25
"68",2020-09-06,15.2146875,15.74,14.5,1.24
"69",2020-09-07,15.426875,15.87,14.67,1.2
"70",2020-09-08,15.4888541666667,15.87,14.71,1.16
"71",2020-09-09,15.1263541666667,15.74,14.2,1.54
"72",2020-09-10,14.9958333333333,15.57,14.03,1.54
"73",2020-09-11,14.8982291666667,15.44,14.33,1.11
"74",2020-09-12,14.59875,15.18,14.03,1.15
"75",2020-09-13,14.2641666666667,14.88,13.77,1.11
"76",2020-09-14,14.3929166666667,14.8,13.9,0.9
"77",2020-09-15,14.4078125,14.88,13.73,1.15
"78",2020-09-16,14.4472916666667,14.88,13.81,1.07
"79",2020-09-17,14.6842708333333,15.01,14.07,0.94
"80",2020-09-18,14.9054166666667,15.18,14.45,0.73
"81",2020-09-19,14.7851041666667,15.18,14.11,1.07
"82",2020-09-20,14.5875,15.1,13.77,1.33
"83",2020-09-21,14.5503125,15.01,13.85,1.16
"84",2020-09-22,14.6339583333333,14.97,13.98,0.99
"85",2020-09-23,14.4836458333333,14.93,13.81,1.12
"86",2020-09-24,15.0802083333333,15.44,14.75,0.69
"87",2020-09-25,14.61125,15.18,14.03,1.15
"88",2020-09-26,14.8059375,15.06,14.37,0.690000000000001
"89",2020-09-27,14.4226041666667,14.97,13.68,1.29
"90",2020-09-28,14.6453125,14.97,14.03,0.940000000000001
"91",2020-09-29,14.369375,14.93,13.64,1.29
"92",2020-09-30,14.3927083333333,14.75,13.85,0.9
"93",2020-10-01,14.3427083333333,14.71,13.81,0.9
"94",2020-10-02,14.4336458333333,14.75,13.98,0.77
"95",2020-10-03,14.3658333333333,14.75,13.85,0.9
"96",2020-10-04,14.1005208333333,14.54,13.47,1.07
"97",2020-10-05,14.016875,14.54,13.43,1.11
"98",2020-10-06,13.7703125,14.28,13.17,1.11
"99",2020-10-07,13.5302083333333,14.07,13,1.07
"100",2020-10-08,13.1545833333333,13.77,12.61,1.16
"101",2020-10-09,13.053125,13.51,12.44,1.07
"102",2020-10-10,13.76375,14.11,13.47,0.639999999999999
"103",2020-10-11,13.4820833333333,13.98,12.95,1.03
"104",2020-10-12,14.0047916666667,14.33,13.68,0.65
"105",2020-10-13,13.9732291666667,14.37,13.43,0.94
"106",2020-10-14,14.0425,14.33,13.51,0.82
"107",2020-10-15,13.2803125,14.03,12.65,1.38
