Date_Time,Temp,Intensity
7/7/2020 10:30,19.9,119
7/7/2020 10:45,20.98,18
7/7/2020 11:00,22.22,34
7/7/2020 11:15,27.97,760
7/7/2020 11:30,12.61,69
7/7/2020 11:45,12.35,76
7/7/2020 12:00,12.7,91
7/7/2020 12:15,12.44,112
7/7/2020 12:30,12.35,129
7/7/2020 12:45,12.35,153
7/7/2020 13:00,12.4,192
7/7/2020 13:15,12.48,278
7/7/2020 13:30,12.57,482
7/7/2020 13:45,12.65,625
7/7/2020 14:00,12.74,684
7/7/2020 14:15,12.78,506
7/7/2020 14:30,12.82,410
7/7/2020 14:45,12.91,541
7/7/2020 15:00,12.95,649
7/7/2020 15:15,13.04,280
7/7/2020 15:30,13.08,480
7/7/2020 15:45,13.08,329
7/7/2020 16:00,13.08,207
7/7/2020 16:15,13.12,173
7/7/2020 16:30,13.08,155
7/7/2020 16:45,13.08,117
7/7/2020 17:00,13.08,85
7/7/2020 17:15,13,51
7/7/2020 17:30,13,38
7/7/2020 17:45,13.04,22
7/7/2020 18:00,13,15
7/7/2020 18:15,13.04,13
7/7/2020 18:30,13,11
7/7/2020 18:45,12.91,10
7/7/2020 19:00,12.87,9
7/7/2020 19:15,12.82,7
7/7/2020 19:30,12.87,6
7/7/2020 19:45,12.74,5
7/7/2020 20:00,12.74,5
7/7/2020 20:15,12.65,3
7/7/2020 20:30,12.61,2
7/7/2020 20:45,12.61,1
7/7/2020 21:00,12.52,0
7/7/2020 21:15,12.48,0
7/7/2020 21:30,12.44,0
7/7/2020 21:45,12.44,0
7/7/2020 22:00,12.4,0
7/7/2020 22:15,12.35,0
7/7/2020 22:30,12.31,0
7/7/2020 22:45,12.31,0
7/7/2020 23:00,12.27,0
7/7/2020 23:15,12.22,0
7/7/2020 23:30,12.18,0
7/7/2020 23:45,12.14,0
7/8/2020 0:00,12.14,0
7/8/2020 0:15,12.14,0
7/8/2020 0:30,12.1,0
7/8/2020 0:45,12.1,0
7/8/2020 1:00,12.1,0
7/8/2020 1:15,12.05,0
7/8/2020 1:30,12.01,0
7/8/2020 1:45,12.01,0
7/8/2020 2:00,11.97,0
7/8/2020 2:15,12.01,0
7/8/2020 2:30,12.01,0
7/8/2020 2:45,11.97,0
7/8/2020 3:00,11.97,0
7/8/2020 3:15,11.92,0
7/8/2020 3:30,11.97,0
7/8/2020 3:45,11.92,0
7/8/2020 4:00,11.92,0
7/8/2020 4:15,11.92,0
7/8/2020 4:30,11.92,0
7/8/2020 4:45,11.92,0
7/8/2020 5:00,11.88,0
7/8/2020 5:15,11.88,0
7/8/2020 5:30,11.84,1
7/8/2020 5:45,11.84,0
7/8/2020 6:00,11.88,2
7/8/2020 6:15,11.84,3
7/8/2020 6:30,11.84,4
7/8/2020 6:45,11.84,5
7/8/2020 7:00,11.84,6
7/8/2020 7:15,11.79,7
7/8/2020 7:30,11.79,8
7/8/2020 7:45,11.75,8
7/8/2020 8:00,11.75,9
7/8/2020 8:15,11.71,14
7/8/2020 8:30,11.75,17
7/8/2020 8:45,11.75,19
7/8/2020 9:00,11.79,22
7/8/2020 9:15,11.79,23
7/8/2020 9:30,11.79,25
7/8/2020 9:45,11.84,28
7/8/2020 10:00,11.84,31
7/8/2020 10:15,11.84,34
